event_id,section,rownum,seat,price,seller_id,status,created_at,updated_at
"107","0","11","1","185","2","1","2019-10-08 14:55:15","2019-10-08 14:55:15"
"107","0","11","2","185","2","1","2019-10-08 14:55:15","2019-10-08 14:55:15"
"107","0","2","1","655","1","1","2019-10-08 14:55:15","2019-10-08 14:55:15"
"107","0","2","2","655","1","1","2019-10-08 14:55:15","2019-10-08 14:55:15"
"107","0","22","1","471","1","1","2019-10-08 14:55:15","2019-10-08 14:55:15"
"107","0","22","2","471","1","1","2019-10-08 14:55:15","2019-10-08 14:55:15"
"107","0","22","3","471","1","1","2019-10-08 14:55:15","2019-10-08 14:55:15"
"107","0","22","4","471","1","1","2019-10-08 14:55:15","2019-10-08 14:55:15"
"107","0","28","1","132","3","1","2019-10-08 14:55:15","2019-10-08 14:55:15"
"107","0","28","2","132","3","1","2019-10-08 14:55:15","2019-10-08 14:55:15"
"107","0","3","1","179","5","1","2019-10-08 14:55:15","2019-10-08 14:55:15"
"107","0","3","2","179","5","1","2019-10-08 14:55:15","2019-10-08 14:55:15"
"107","0","4","1","390","5","1","2019-10-08 14:55:15","2019-10-08 14:55:15"
"107","0","4","2","390","5","1","2019-10-08 14:55:15","2019-10-08 14:55:15"
"107","0","48","1","106","3","1","2019-10-08 14:55:15","2019-10-08 14:55:15"
"107","0","48","2","106","3","1","2019-10-08 14:55:15","2019-10-08 14:55:15"
"107","0","6","1","161","1","1","2019-10-08 14:55:15","2019-10-08 14:55:15"
"107","0","6","2","161","1","1","2019-10-08 14:55:15","2019-10-08 14:55:15"
"107","0","8","1","152","2","1","2019-10-08 14:55:15","2019-10-08 14:55:15"
"107","0","8","2","152","2","1","2019-10-08 14:55:15","2019-10-08 14:55:15"
"107","0","8","3","272","2","1","2019-10-08 14:55:15","2019-10-08 14:55:15"
"107","0","8","4","272","2","1","2019-10-08 14:55:15","2019-10-08 14:55:15"
"107","0","8","5","272","2","1","2019-10-08 14:55:15","2019-10-08 14:55:15"
"107","0","8","6","272","2","1","2019-10-08 14:55:15","2019-10-08 14:55:15"
"107","0","C","1","272","5","1","2019-10-08 14:55:15","2019-10-08 14:55:15"
"107","0","C","2","272","5","1","2019-10-08 14:55:15","2019-10-08 14:55:15"
"107","10","D","1","381","5","1","2019-10-08 14:55:15","2019-10-08 14:55:15"
"107","10","D","2","381","5","1","2019-10-08 14:55:15","2019-10-08 14:55:15"
"107","10","H","1","379","5","1","2019-10-08 14:55:15","2019-10-08 14:55:15"
"107","10","H","2","379","5","1","2019-10-08 14:55:15","2019-10-08 14:55:15"
"107","10","K","1","427","1","1","2019-10-08 14:55:15","2019-10-08 14:55:15"
"107","10","K","2","427","1","1","2019-10-08 14:55:15","2019-10-08 14:55:15"
"107","10","K","3","427","1","1","2019-10-08 14:55:15","2019-10-08 14:55:15"
